id,female,region,academic_qual,dob,age,numchild
7833,0,yorkshire & humber,GCSE/CSE/OLevel,1973,18,0
7834,1,yorkshire & humber,Degree +,1968,23,0
7835,0,yorkshire & humber,GCSE/CSE/OLevel,1967,24,0
7836,1,yorkshire & humber,GCSE/CSE/OLevel,1970,20,0
7837,1,yorkshire & humber,None,1913,78,0
7838,1,yorkshire & humber,GCSE/CSE/OLevel,1965,26,1
7839,0,yorkshire & humber,ALevel,1967,24,1
7840,0,yorkshire & humber,Degree +,1964,27,0
7841,0,yorkshire & humber,None,1943,48,0
7842,1,yorkshire & humber,GCSE/CSE/OLevel,1972,19,0
7843,0,yorkshire & humber,GCSE/CSE/OLevel,1935,56,0
7844,1,yorkshire & humber,None,1939,52,0
7845,1,yorkshire & humber,GCSE/CSE/OLevel,1958,33,0
7846,0,yorkshire & humber,ALevel,1959,32,0
7847,0,yorkshire & humber,None,1964,27,0
7848,1,yorkshire & humber,GCSE/CSE/OLevel,1969,22,0
7849,0,yorkshire & humber,GCSE/CSE/OLevel,1970,21,0
7850,0,yorkshire & humber,ALevel,1963,28,0
7851,0,yorkshire & humber,ALevel,1970,21,0
7852,0,yorkshire & humber,ALevel,1969,22,0
7853,1,yorkshire & humber,GCSE/CSE/OLevel,1957,34,1
7854,0,yorkshire & humber,GCSE/CSE/OLevel,1958,32,1
7855,1,yorkshire & humber,None,1915,76,0
7856,1,yorkshire & humber,GCSE/CSE/OLevel,1934,57,0
7857,0,yorkshire & humber,None,1929,62,0
7858,1,yorkshire & humber,None,1929,62,0
7859,0,yorkshire & humber,None,1915,76,3
7860,1,yorkshire & humber,None,1917,74,3
7861,1,yorkshire & humber,ALevel,1956,35,3
7862,0,yorkshire & humber,GCSE/CSE/OLevel,1959,32,3
7863,0,yorkshire & humber,GCSE/CSE/OLevel,1947,44,3
7864,1,yorkshire & humber,Degree +,1949,41,3
7865,1,yorkshire & humber,ALevel,1954,37,0
7866,1,yorkshire & humber,GCSE/CSE/OLevel,1973,18,1
7867,0,yorkshire & humber,None,1972,19,1
7868,0,yorkshire & humber,None,1953,38,0
7869,0,yorkshire & humber,None,1929,62,0
7870,1,yorkshire & humber,None,1933,58,0
7871,0,yorkshire & humber,GCSE/CSE/OLevel,1965,26,0
7872,0,yorkshire & humber,GCSE/CSE/OLevel,1964,27,0
7873,1,yorkshire & humber,GCSE/CSE/OLevel,1966,25,0
7874,0,yorkshire & humber,GCSE/CSE/OLevel,1943,48,0
7875,1,yorkshire & humber,None,1945,46,0
7876,0,yorkshire & humber,GCSE/CSE/OLevel,1967,23,0
7877,1,yorkshire & humber,GCSE/CSE/OLevel,1970,21,0
7878,0,yorkshire & humber,None,1954,37,0
7879,1,yorkshire & humber,GCSE/CSE/OLevel,1954,37,0
7880,1,yorkshire & humber,None,1961,30,3
7881,0,yorkshire & humber,None,1942,49,0
7882,1,yorkshire & humber,None,1944,47,0
7883,0,yorkshire & humber,ALevel,1956,35,0
7884,1,yorkshire & humber,Degree +,1955,36,0
7885,0,yorkshire & humber,GCSE/CSE/OLevel,1967,23,2
7886,1,yorkshire & humber,GCSE/CSE/OLevel,1968,23,2
7887,0,yorkshire & humber,None,1934,56,0
7888,1,yorkshire & humber,GCSE/CSE/OLevel,1940,51,0
7889,0,yorkshire & humber,GCSE/CSE/OLevel,1935,56,0
7890,1,yorkshire & humber,None,1935,56,0
7891,0,yorkshire & humber,None,1927,64,0
7892,1,yorkshire & humber,None,1929,62,0
7893,0,yorkshire & humber,GCSE/CSE/OLevel,1966,25,1
7894,1,yorkshire & humber,GCSE/CSE/OLevel,1969,22,1
7895,0,yorkshire & humber,GCSE/CSE/OLevel,1971,20,1
7896,0,yorkshire & humber,None,1908,83,0
7897,0,yorkshire & humber,NA,1952,39,3
7898,1,yorkshire & humber,GCSE/CSE/OLevel,1959,32,3
7899,0,yorkshire & humber,GCSE/CSE/OLevel,1925,66,0
7900,1,yorkshire & humber,None,1927,64,0
7901,0,yorkshire & humber,ALevel,1959,32,0
7902,1,yorkshire & humber,GCSE/CSE/OLevel,1964,27,0
7903,0,yorkshire & humber,None,1936,55,0
7904,1,yorkshire & humber,None,1940,51,0
7905,1,yorkshire & humber,None,1911,79,0
7906,0,yorkshire & humber,NA,1959,32,3
7907,1,yorkshire & humber,GCSE/CSE/OLevel,1960,30,3
7908,0,yorkshire & humber,GCSE/CSE/OLevel,1923,68,0
7909,1,yorkshire & humber,Degree +,1934,57,0
7910,0,yorkshire & humber,ALevel,1957,34,0
7911,1,yorkshire & humber,Degree +,1913,78,0
7912,0,yorkshire & humber,Degree +,1915,76,0
7913,1,yorkshire & humber,GCSE/CSE/OLevel,1948,43,0
7914,0,yorkshire & humber,NA,1971,20,0
7915,0,yorkshire & humber,NA,1973,18,0
7916,0,yorkshire & humber,ALevel,1960,31,3
7917,1,yorkshire & humber,ALevel,1960,31,3
7918,0,yorkshire & humber,None,1942,49,0
7919,1,yorkshire & humber,None,1942,49,0
7920,0,yorkshire & humber,NA,1967,24,0
7921,1,yorkshire & humber,GCSE/CSE/OLevel,1968,23,0
7922,0,yorkshire & humber,GCSE/CSE/OLevel,1974,17,0
7923,1,yorkshire & humber,None,1925,66,0
7924,0,yorkshire & humber,None,1928,63,0
7925,0,yorkshire & humber,ALevel,1958,33,2
7926,1,yorkshire & humber,GCSE/CSE/OLevel,1961,30,2
7927,0,yorkshire & humber,Degree +,1953,38,3
7928,1,yorkshire & humber,GCSE/CSE/OLevel,1955,35,3
7929,1,yorkshire & humber,None,1923,68,3
7930,0,yorkshire & humber,Degree +,1959,32,0
7931,1,yorkshire & humber,Degree +,1963,28,0
7932,1,yorkshire & humber,GCSE/CSE/OLevel,1937,54,0
7933,0,yorkshire & humber,GCSE/CSE/OLevel,1962,29,0
7934,0,yorkshire & humber,Degree +,1944,47,0
7935,1,yorkshire & humber,None,1945,46,0
7936,0,yorkshire & humber,GCSE/CSE/OLevel,1974,17,0
7937,0,yorkshire & humber,GCSE/CSE/OLevel,1964,26,1
7938,1,yorkshire & humber,GCSE/CSE/OLevel,1969,22,1
7939,0,yorkshire & humber,None,1933,58,0
7940,1,yorkshire & humber,None,1933,58,0
7941,0,yorkshire & humber,GCSE/CSE/OLevel,1962,29,0
7942,0,yorkshire & humber,None,1966,25,0
7943,0,yorkshire & humber,None,1945,46,0
7944,1,yorkshire & humber,None,1954,37,0
7945,0,yorkshire & humber,NA,1972,19,0
7946,0,yorkshire & humber,GCSE/CSE/OLevel,1975,16,0
7947,0,yorkshire & humber,Degree +,1928,63,0
7948,1,yorkshire & humber,None,1932,59,0
7949,0,yorkshire & humber,GCSE/CSE/OLevel,1962,29,2
7950,1,yorkshire & humber,GCSE/CSE/OLevel,1966,25,2
7951,0,yorkshire & humber,NA,1945,46,0
7952,1,yorkshire & humber,None,1946,45,0
7953,0,yorkshire & humber,None,1955,36,1
7954,1,yorkshire & humber,GCSE/CSE/OLevel,1956,35,1
7955,1,yorkshire & humber,Degree +,1965,26,0
7956,0,yorkshire & humber,Degree +,1967,24,0
7957,0,yorkshire & humber,None,1957,34,2
7958,1,yorkshire & humber,Degree +,1959,32,2
7959,1,yorkshire & humber,None,1942,49,1
7960,0,yorkshire & humber,None,1947,44,1
7961,0,yorkshire & humber,GCSE/CSE/OLevel,1966,25,1
7962,1,yorkshire & humber,GCSE/CSE/OLevel,1968,23,1
7963,1,yorkshire & humber,GCSE/CSE/OLevel,1925,66,0
7964,0,yorkshire & humber,None,1926,65,0
7965,1,yorkshire & humber,None,1921,70,0
7966,0,yorkshire & humber,None,1947,44,0
7967,1,yorkshire & humber,None,1949,42,0
7968,0,yorkshire & humber,ALevel,1971,20,0
7969,1,yorkshire & humber,ALevel,1933,58,0
7970,0,yorkshire & humber,GCSE/CSE/OLevel,1947,44,0
7971,1,yorkshire & humber,GCSE/CSE/OLevel,1950,41,0
7972,0,yorkshire & humber,GCSE/CSE/OLevel,1971,20,0
7973,0,yorkshire & humber,ALevel,1973,18,0
7974,0,yorkshire & humber,None,1938,53,0
7975,1,yorkshire & humber,GCSE/CSE/OLevel,1937,54,0
7976,0,yorkshire & humber,None,1948,43,0
7977,1,yorkshire & humber,None,1945,46,0
7978,0,yorkshire & humber,None,1947,44,0
7979,1,yorkshire & humber,None,1950,41,1
7980,0,yorkshire & humber,None,1955,36,1
7981,1,yorkshire & humber,NA,1967,24,1
7982,0,yorkshire & humber,None,1973,18,1
7983,1,yorkshire & humber,None,1922,69,0
7984,0,yorkshire & humber,None,1923,68,0
7985,1,yorkshire & humber,None,1909,82,0
7986,1,yorkshire & humber,None,1961,30,3
7987,0,yorkshire & humber,None,1952,39,3
